n,x,d,residue,y,z,verify,eps,y/d ratio
101,26,2626,3/2626,876.0,1150188.0,True,0.0,0.3335872048743336
105,27,2835,3/2835,946.0,893970.0,True,1.0,0.33368606701940035
109,28,3052,3/3052,1018.0,1553468.0,True,0.0,0.33355176933158587
113,29,3277,3/3277,1102.0,124526.0,True,9.0,0.336283185840708
117,30,3510,3/3510,1171.0,1370070.0,True,1.0,0.3336182336182336
121,31,3751,3/3751,1254.0,427614.0,True,3.0,0.3343108504398827
125,32,4000,3/4000,1334.0,2668000.0,True,0.0,0.3335
129,33,4257,3/4257,1420.0,2014980.0,True,1.0,0.33356824054498474
133,34,4522,3/4522,1508.0,3409588.0,True,0.0,0.3334807607253428
137,35,4795,3/4795,1600.0,1534400.0,True,1.0,0.33368091762252344
141,36,5076,3/5076,1693.0,2864556.0,True,1.0,0.3335303388494878
145,37,5365,3/5365,1790.0,1920670.0,True,1.0,0.3336439888164026
149,38,5662,3/5662,1888.0,5344928.0,True,0.0,0.3334510773578241
153,39,5967,3/5967,1990.0,3958110.0,True,1.0,0.33350092173621587
157,40,6280,3/6280,2094.0,6575160.0,True,0.0,0.33343949044585985
161,41,6601,3/6601,2208.0,633696.0,True,7.0,0.3344947735191638
165,42,6930,3/6930,2311.0,5338410.0,True,1.0,0.3334776334776335
169,43,7267,3/7267,,,False,,
173,44,7612,3/7612,2538.0,9659628.0,True,0.0,0.3334209143457698
177,45,7965,3/7965,2656.0,7051680.0,True,1.0,0.333458882611425
181,46,8326,3/8326,2776.0,11556488.0,True,0.0,0.3334134037953399
185,47,8695,3/8695,2900.0,5043100.0,True,1.0,0.33352501437607823
189,48,9072,3/9072,3025.0,9147600.0,True,1.0,0.3334435626102293
193,49,9457,3/9457,,,False,,
197,50,9850,3/9850,3284.0,16173700.0,True,0.0,0.3334010152284264
